id,local_authority_unitary_authority_code,region_code,country_code_#,country_name_#,sex,age,population
0,N09000003,N99999999,N92000002,Northern Ireland,m,0,361.5
0,N09000003,N99999999,N92000002,Northern Ireland,m,25,383.5833333333333
1,N09000003,N99999999,N92000002,Northern Ireland,m,0,527.5833333333333
1,N09000003,N99999999,N92000002,Northern Ireland,m,25,475.5833333333333
2,N09000004,N99999999,N92000002,Northern Ireland,m,0,543.25
2,N09000004,N99999999,N92000002,Northern Ireland,m,25,443.5833333333333
3,E06000001,E12000001,E92000001,England,m,0,597.0833333333333
3,E06000001,E12000001,E92000001,England,m,25,501.91666666666663
4,E06000002,E12000001,E92000001,England,m,0,858.4933263083333
4,E06000002,E12000001,E92000001,England,m,25,1085.75
5,E06000003,E12000001,E92000001,England,m,0,737.0
5,E06000003,E12000001,E92000001,England,m,25,786.1666666666666
6,W06000001,W99999999,W92000004,Wales,m,0,353.5833333333333
6,W06000001,W99999999,W92000004,Wales,m,25,364.16666666666663
7,W06000002,W99999999,W92000004,Wales,m,0,650.5300429166666
7,W06000002,W99999999,W92000004,Wales,m,25,632.1666666666666
8,W06000003,W99999999,W92000004,Wales,m,0,552.917561125
8,W06000003,W99999999,W92000004,Wales,m,25,586.7538759666666
9,W06000004,W99999999,W92000004,Wales,m,0,762.8391224833333
9,W06000004,W99999999,W92000004,Wales,m,25,553.5
10,W06000005,W99999999,W92000004,Wales,m,0,292.16666666666663
10,W06000005,W99999999,W92000004,Wales,m,25,363.16666666666663
11,S12000008,S99999999,S92000003,Scotland,m,0,666.4877033583333
11,S12000008,S99999999,S92000003,Scotland,m,25,641.0489742499999
12,S12000010,S99999999,S92000003,Scotland,m,0,362.8191303333333
12,S12000010,S99999999,S92000003,Scotland,m,25,522.2346248166666
13,S12000011,S99999999,S92000003,Scotland,m,0,474.10104319166663
13,S12000011,S99999999,S92000003,Scotland,m,25,582.0221153333332
14,S12000013,S99999999,S92000003,Scotland,m,0,186.25193657499997
14,S12000013,S99999999,S92000003,Scotland,m,25,105.197262475
0,N09000003,N99999999,N92000002,Northern Ireland,f,0,
0,N09000003,N99999999,N92000002,Northern Ireland,f,25,605.8767809
1,N09000003,N99999999,N92000002,Northern Ireland,f,0,
1,N09000003,N99999999,N92000002,Northern Ireland,f,25,81.59349815416667
2,N09000004,N99999999,N92000002,Northern Ireland,f,0,
2,N09000004,N99999999,N92000002,Northern Ireland,f,25,531.8525525499999
3,E06000001,E12000001,E92000001,England,f,0,
3,E06000001,E12000001,E92000001,England,f,25,134.30157035833332
4,E06000002,E12000001,E92000001,England,f,0,
4,E06000002,E12000001,E92000001,England,f,25,499.4678396833333
5,E06000003,E12000001,E92000001,England,f,0,
5,E06000003,E12000001,E92000001,England,f,25,280.59282633333333
6,W06000001,W99999999,W92000004,Wales,f,0,
6,W06000001,W99999999,W92000004,Wales,f,25,308.04455905833333
7,W06000002,W99999999,W92000004,Wales,f,0,
7,W06000002,W99999999,W92000004,Wales,f,25,1130.9624806666666
8,W06000003,W99999999,W92000004,Wales,f,0,
8,W06000003,W99999999,W92000004,Wales,f,25,1460.1157968333332
9,W06000004,W99999999,W92000004,Wales,f,0,
9,W06000004,W99999999,W92000004,Wales,f,25,342.75844416666666
10,W06000005,W99999999,W92000004,Wales,f,0,
10,W06000005,W99999999,W92000004,Wales,f,25,2855.8876744166664
11,S12000008,S99999999,S92000003,Scotland,f,0,
11,S12000008,S99999999,S92000003,Scotland,f,25,8026.7050544583335
12,S12000010,S99999999,S92000003,Scotland,f,0,
12,S12000010,S99999999,S92000003,Scotland,f,25,496.85988902500003
13,S12000011,S99999999,S92000003,Scotland,f,0,
13,S12000011,S99999999,S92000003,Scotland,f,25,986.5891823083332
14,S12000013,S99999999,S92000003,Scotland,f,0,
14,S12000013,S99999999,S92000003,Scotland,f,25,443.07336905833336
