id,local_authority_unitary_authority_code,region_code,country_code_#,country_name_#,population,sex
0,N09000003,N99999999,N92000002,Northern Ireland,361.5,m
0,N09000003,N99999999,N92000002,Northern Ireland,383.5833333333333,m
1,N09000003,N99999999,N92000002,Northern Ireland,527.5833333333333,m
1,N09000003,N99999999,N92000002,Northern Ireland,475.5833333333333,m
2,N09000004,N99999999,N92000002,Northern Ireland,543.25,m
2,N09000004,N99999999,N92000002,Northern Ireland,443.5833333333333,m
3,E06000001,E12000001,E92000001,England,597.0833333333333,m
3,E06000001,E12000001,E92000001,England,501.91666666666663,m
4,E06000002,E12000001,E92000001,England,858.4933263083333,m
4,E06000002,E12000001,E92000001,England,1085.75,m
5,E06000003,E12000001,E92000001,England,737.0,m
5,E06000003,E12000001,E92000001,England,786.1666666666666,m
6,W06000001,W99999999,W92000004,Wales,353.5833333333333,m
6,W06000001,W99999999,W92000004,Wales,364.16666666666663,m
7,W06000002,W99999999,W92000004,Wales,650.5300429166666,m
7,W06000002,W99999999,W92000004,Wales,632.1666666666666,m
8,W06000003,W99999999,W92000004,Wales,552.917561125,m
8,W06000003,W99999999,W92000004,Wales,586.7538759666666,m
9,W06000004,W99999999,W92000004,Wales,762.8391224833333,m
9,W06000004,W99999999,W92000004,Wales,553.5,m
10,W06000005,W99999999,W92000004,Wales,292.16666666666663,m
10,W06000005,W99999999,W92000004,Wales,363.16666666666663,m
11,S12000008,S99999999,S92000003,Scotland,666.4877033583333,m
11,S12000008,S99999999,S92000003,Scotland,641.0489742499999,m
12,S12000010,S99999999,S92000003,Scotland,362.8191303333333,m
12,S12000010,S99999999,S92000003,Scotland,522.2346248166666,m
13,S12000011,S99999999,S92000003,Scotland,474.10104319166663,m
13,S12000011,S99999999,S92000003,Scotland,582.0221153333332,m
14,S12000013,S99999999,S92000003,Scotland,186.25193657499997,m
14,S12000013,S99999999,S92000003,Scotland,105.197262475,m
0,N09000003,N99999999,N92000002,Northern Ireland,,f
0,N09000003,N99999999,N92000002,Northern Ireland,605.8767809,f
1,N09000003,N99999999,N92000002,Northern Ireland,,f
1,N09000003,N99999999,N92000002,Northern Ireland,81.59349815416667,f
2,N09000004,N99999999,N92000002,Northern Ireland,,f
2,N09000004,N99999999,N92000002,Northern Ireland,531.8525525499999,f
3,E06000001,E12000001,E92000001,England,,f
3,E06000001,E12000001,E92000001,England,134.30157035833332,f
4,E06000002,E12000001,E92000001,England,,f
4,E06000002,E12000001,E92000001,England,499.4678396833333,f
5,E06000003,E12000001,E92000001,England,,f
5,E06000003,E12000001,E92000001,England,280.59282633333333,f
6,W06000001,W99999999,W92000004,Wales,,f
6,W06000001,W99999999,W92000004,Wales,308.04455905833333,f
7,W06000002,W99999999,W92000004,Wales,,f
7,W06000002,W99999999,W92000004,Wales,1130.9624806666666,f
8,W06000003,W99999999,W92000004,Wales,,f
8,W06000003,W99999999,W92000004,Wales,1460.1157968333332,f
9,W06000004,W99999999,W92000004,Wales,,f
9,W06000004,W99999999,W92000004,Wales,342.75844416666666,f
10,W06000005,W99999999,W92000004,Wales,,f
10,W06000005,W99999999,W92000004,Wales,2855.8876744166664,f
11,S12000008,S99999999,S92000003,Scotland,,f
11,S12000008,S99999999,S92000003,Scotland,8026.7050544583335,f
12,S12000010,S99999999,S92000003,Scotland,,f
12,S12000010,S99999999,S92000003,Scotland,496.85988902500003,f
13,S12000011,S99999999,S92000003,Scotland,,f
13,S12000011,S99999999,S92000003,Scotland,986.5891823083332,f
14,S12000013,S99999999,S92000003,Scotland,,f
14,S12000013,S99999999,S92000003,Scotland,443.07336905833336,f
